T,P,rho,h,cp,mu,k
500.0,23.0,848.9643820815191,981029.3023811925,4511.490181629314,0.00012306411371066516,0.6582310866318172
501.0,23.0,847.7365673496233,985543.5437619248,4517.004387307566,0.00012251570918402012,0.6574035904156398
502.0,23.0,846.5031829566684,990063.3349620199,4522.590012598709,0.00012197193510425515,0.6565678107877304
503.0,23.0,845.2641808600443,994588.7479826962,4528.248225602685,0.0001214327112662263,0.6557237531133253
504.0,23.0,844.01951201927,999119.8560081129,4533.980224286793,0.00012089795865419864,0.6548714220688557
505.0,23.0,842.7691263733182,1003656.7334357413,4539.787237455333,0.00012036759941371081,0.6540108216376888
506.0,23.0,841.5129728171723,1008199.4559077029,4545.670525757699,0.00011984155682398153,0.6531419551051594
507.0,23.0,840.2509991775743,1012748.1003431067,4551.6313827369395,0.00011931975527083834,0.6522648250529047
508.0,23.0,838.9831521879124,1017302.7449715212,4557.671135920619,0.0001188021202201415,0.6513794333524653
509.0,23.0,837.7093774622598,1021863.4693674957,4563.7911479557915,0.00011828857819169758,0.650485781158234
510.0,23.0,836.429619468481,1026430.3544862838,4569.992817790631,0.00011777905673363173,0.6495838688996816
511.0,23.0,835.1438215003942,1031003.4827007387,4576.277581904566,0.00011727348439720412,0.6486736962728994
512.0,23.0,833.8519256489544,1035582.9378395008,4582.646915589493,0.000116771790712058,0.6477552622314596
513.0,23.0,832.5538727723912,1040168.8052264587,4589.102334284517,0.00011627390616186911,0.6468285649765418
514.0,23.0,831.2496024652925,1044761.1717215851,4595.645394967071,0.00011577976216039382,0.6458936019463853
515.0,23.0,829.9390530265524,1049360.1257632184,4602.2776976025125,0.0001152892910278825,0.6449503698049932
516.0,23.0,828.6221614261771,1053965.7574117535,4609.000886656142,0.00011480242596785696,0.6439988644301258
517.0,23.0,827.2988632708466,1058578.1583949882,4615.816652669951,0.00011431910104421714,0.6430390809005159
518.0,23.0,825.9690927682416,1063197.422154955,4622.726733907706,0.00011383925115867789,0.6420710134823553
519.0,23.0,824.6327826900268,1067823.6438965404,4629.732918071801,0.00011336281202850363,0.6410946556149602
520.0,23.0,823.28986433346,1072456.9206377948,4636.837044095723,0.00011288972016453164,0.6401099998956582
521.0,23.0,821.9402674815677,1077097.3512620854,4644.041004015509,0.00011241991284946714,0.6391170380638352
522.0,23.0,820.5839203618069,1081745.0365721865,4651.346744925077,0.00011195332811642791,0.6381157609841132
523.0,23.0,819.2207496031647,1086400.0793463378,4658.756271019081,0.00011148990472772739,0.6371061586286789
524.0,23.0,817.8506801916111,1091062.5843964138,4666.271645728573,0.00011102958215387499,0.6360882200586697
525.0,23.0,816.47363542384,1095732.6586282582,4673.894993953483,0.0001105723005527788,0.6350619334046318
526.0,23.0,815.0895368592052,1100410.411104324,4681.628504398368,0.0001101180007491294,0.6340272858459951
527.0,23.0,813.6983042697933,1105095.9531086835,4689.474432015653,0.00010966662421395432,0.6329842635895345
528.0,23.0,812.2998555885238,1109789.3982145377,4697.43510056334,0.0001092181130443181,0.6319328518467839
529.0,23.0,810.8941068551927,1114490.8623543766,4705.512905282551,0.00010877240994315373,0.6308730348103428
530.0,23.0,809.4809721603715,1119200.463892812,4713.710315702147,0.00010832945819920838,0.6298047956290657
531.0,23.0,808.0603635870368,1123918.3237023712,4722.029878577068,0.00010788920166708013,0.6287281163820472
532.0,23.0,806.632191149851,1128644.5652422116,4730.474220968074,0.00010745158474733306,0.6276429780513835
533.0,23.0,805.1963627319647,1133379.3146400468,4739.046053470958,0.00010701655236666785,0.6265493604936531
534.0,23.0,803.7527840192015,1138122.7007773593,4747.748173603461,0.00010658404995812434,0.6254472424100351
535.0,23.0,802.3013584315634,1142874.85537808,4756.583469358805,0.0001061540234413113,0.6243366013150711
536.0,23.0,800.841987051811,1147635.9131009271,4765.554922936512,0.0001057264192026149,0.6232174135039003
537.0,23.0,799.3745685511157,1152406.0116355338,4774.665614659038,0.00010530118407540065,0.62208965401804
538.0,23.0,797.8989991115055,1157185.2918026296,4783.918727087029,0.00010487826532015373,0.6209532966095155
539.0,23.0,796.4151723450207,1161973.8976584156,4793.317549343364,0.00010445761060455458,0.6198083137033412
540.0,23.0,794.9229792093904,1166771.9766033825,4802.865481660016,0.00010403916798346198,0.6186546763582561
541.0,23.0,793.4223079200483,1171579.6794957868,4812.566040159375,0.00010362288587877724,0.6174923542256204
542.0,23.0,791.9130438582944,1176397.1607700419,4822.42286188603,0.00010320871305916516,0.616321315506401
543.0,23.0,790.395069475411,1181224.5785602578,4832.4397101032555,0.00010279659861960782,0.6151415269061427
544.0,23.0,788.868264192511,1186062.0948292369,4842.620479871069,0.00010238649196076076,0.6139529535878308
545.0,23.0,787.3325042959068,1190909.8755031629,4852.96920392283,0.00010197834276808851,0.6127555591225575
546.0,23.0,785.7876628277246,1195768.0906123696,4863.490058860546,0.00010157210099074074,0.6115493054378367
547.0,23.0,784.2336094715481,1200636.9144384316,4874.187371687524,0.00010116771682014835,0.6103341527635068
548.0,23.0,782.670210432796,1205516.525667982,4885.065626701147,0.00010076514066830083,0.6091100595750687
549.0,23.0,781.097328313552,1210407.1075536078,4896.129472768405,0.00010036432314567395,0.6078769825343223
550.0,23.0,779.5148219815135,1215308.8480822404,4907.38373101064,9.996521503876506e-05,0.6066348764271693
551.0,23.0,777.9225464327712,1220221.94015142,4918.833402922041,9.95677672872092e-05,0.605383694098446
552.0,23.0,776.3203526480537,1225146.5817539254,4930.483678953485,9.917193096043129e-05,0.6041233863836251
553.0,23.0,774.7080874420209,1230082.9761712207,4942.339947591555,9.877765723378455e-05,0.6028539020371868
554.0,23.0,773.0855933052763,1235031.332176266,4954.4078049668715,9.838489736414562e-05,0.6015751876575408
555.0,23.0,771.4527082386174,1239991.864246178,4966.693065028197,9.799360266490707e-05,0.6002871876082536
556.0,23.0,769.8092655790937,1244964.7927854008,4979.201770321708,9.760372448032463e-05,0.5989898439354242
